cross_time	nbr_breaks	Group_m1	Group_m2	Group_m2	Group_m3	Group_m3	Group_c1	Group_sattr	Group_vattr	Group_m_att	Group_c_att	Group_at_rep	Group_m_rep
2.000000e+02	3.000000e+00	7.132259e-02	6.298969e-01	2.329467e-01	9.795261e-02	8.310975e-01	3.837250e-01	1.904468e+00	5.468174e+03	7.860906e-01	2.090055e-01	2.445193e+01	3.250417e+01
2.000000e+02	1.000000e+01	7.132259e-02	6.298969e-01	2.329467e-01	9.795261e-02	8.310975e-01	4.299458e-01	2.312509e+00	5.468174e+03	7.860906e-01	2.090055e-01	2.445193e+01	3.250417e+01
2.000000e+02	4.000000e+00	7.132259e-02	6.298969e-01	2.329467e-01	9.795261e-02	8.310975e-01	4.299458e-01	1.904468e+00	5.319189e+03	7.860906e-01	2.090055e-01	2.445193e+01	3.250417e+01
2.000000e+02	8.000000e+00	7.132259e-02	6.298969e-01	2.329467e-01	9.795261e-02	8.310975e-01	4.299458e-01	1.904468e+00	5.468174e+03	7.033643e-01	2.090055e-01	2.445193e+01	3.250417e+01
2.000000e+02	1.000000e+01	7.132259e-02	6.298969e-01	2.329467e-01	9.795261e-02	8.310975e-01	4.299458e-01	1.904468e+00	5.468174e+03	7.860906e-01	5.908569e-01	2.445193e+01	3.250417e+01
2.000000e+02	8.000000e+00	7.132259e-02	6.298969e-01	2.329467e-01	9.795261e-02	8.310975e-01	4.299458e-01	1.904468e+00	5.468174e+03	7.860906e-01	2.090055e-01	6.961234e+01	3.250417e+01
2.000000e+02	7.000000e+00	7.132259e-02	6.298969e-01	2.329467e-01	9.795261e-02	8.310975e-01	4.299458e-01	1.904468e+00	5.468174e+03	7.860906e-01	2.090055e-01	2.445193e+01	4.658463e+01
2.000000e+02	5.000000e+00	7.132259e-02	6.814483e-01	3.438598e-01	5.185624e-01	8.980909e-01	3.837250e-01	2.312509e+00	5.319189e+03	7.033643e-01	5.908569e-01	6.961234e+01	4.658463e+01
2.000000e+02	0.000000e+00	5.767779e-01	6.298969e-01	2.329467e-01	5.185624e-01	8.980909e-01	3.837250e-01	2.312509e+00	5.319189e+03	7.033643e-01	5.908569e-01	6.961234e+01	4.658463e+01
2.000000e+02	0.000000e+00	5.767779e-01	6.814483e-01	3.438598e-01	9.795261e-02	8.310975e-01	3.837250e-01	2.312509e+00	5.319189e+03	7.033643e-01	5.908569e-01	6.961234e+01	4.658463e+01
2.000000e+02	0.000000e+00	5.767779e-01	6.814483e-01	3.438598e-01	5.185624e-01	8.980909e-01	4.299458e-01	2.312509e+00	5.319189e+03	7.033643e-01	5.908569e-01	6.961234e+01	4.658463e+01
2.000000e+02	0.000000e+00	5.767779e-01	6.814483e-01	3.438598e-01	5.185624e-01	8.980909e-01	3.837250e-01	1.904468e+00	5.319189e+03	7.033643e-01	5.908569e-01	6.961234e+01	4.658463e+01
2.000000e+02	0.000000e+00	5.767779e-01	6.814483e-01	3.438598e-01	5.185624e-01	8.980909e-01	3.837250e-01	2.312509e+00	5.468174e+03	7.033643e-01	5.908569e-01	6.961234e+01	4.658463e+01
2.000000e+02	1.000000e+00	5.767779e-01	6.814483e-01	3.438598e-01	5.185624e-01	8.980909e-01	3.837250e-01	2.312509e+00	5.319189e+03	7.860906e-01	5.908569e-01	6.961234e+01	4.658463e+01
2.000000e+02	1.000000e+00	5.767779e-01	6.814483e-01	3.438598e-01	5.185624e-01	8.980909e-01	3.837250e-01	2.312509e+00	5.319189e+03	7.033643e-01	2.090055e-01	6.961234e+01	4.658463e+01
2.000000e+02	1.000000e+00	5.767779e-01	6.814483e-01	3.438598e-01	5.185624e-01	8.980909e-01	3.837250e-01	2.312509e+00	5.319189e+03	7.033643e-01	5.908569e-01	2.445193e+01	4.658463e+01
2.000000e+02	1.000000e+00	5.767779e-01	6.814483e-01	3.438598e-01	5.185624e-01	8.980909e-01	3.837250e-01	2.312509e+00	5.319189e+03	7.033643e-01	5.908569e-01	6.961234e+01	3.250417e+01
2.000000e+02	1.000000e+00	5.767779e-01	6.814483e-01	3.438598e-01	5.185624e-01	8.980909e-01	3.837250e-01	2.312509e+00	5.319189e+03	7.033643e-01	5.908569e-01	6.961234e+01	4.658463e+01
2.000000e+02	0.000000e+00	6.504955e-01	3.129796e-01	5.270704e-01	7.160667e-01	3.526316e-01	9.006492e-01	3.648185e+00	3.177148e+03	4.172736e-01	7.038920e-01	7.325758e+01	7.162529e+01
2.000000e+02	1.000000e+00	2.438166e-01	3.129796e-01	5.270704e-01	7.160667e-01	3.526316e-01	9.006492e-01	3.648185e+00	3.177148e+03	4.172736e-01	7.038920e-01	7.325758e+01	7.162529e+01
2.000000e+02	0.000000e+00	6.504955e-01	3.208006e-01	8.214487e-01	7.160667e-01	3.526316e-01	9.006492e-01	3.648185e+00	3.177148e+03	4.172736e-01	7.038920e-01	7.325758e+01	7.162529e+01
2.000000e+02	1.000000e+00	6.504955e-01	3.129796e-01	5.270704e-01	2.424546e-01	2.552877e-01	9.006492e-01	3.648185e+00	3.177148e+03	4.172736e-01	7.038920e-01	7.325758e+01	7.162529e+01
2.000000e+02	3.000000e+00	6.504955e-01	3.129796e-01	5.270704e-01	7.160667e-01	3.526316e-01	8.768461e-01	3.648185e+00	3.177148e+03	4.172736e-01	7.038920e-01	7.325758e+01	7.162529e+01
2.000000e+02	0.000000e+00	6.504955e-01	3.129796e-01	5.270704e-01	7.160667e-01	3.526316e-01	9.006492e-01	4.871315e+00	3.177148e+03	4.172736e-01	7.038920e-01	7.325758e+01	7.162529e+01
2.000000e+02	1.000000e+00	6.504955e-01	3.129796e-01	5.270704e-01	7.160667e-01	3.526316e-01	9.006492e-01	3.648185e+00	3.227659e+03	4.172736e-01	7.038920e-01	7.325758e+01	7.162529e+01
2.000000e+02	4.000000e+00	6.504955e-01	3.129796e-01	5.270704e-01	7.160667e-01	3.526316e-01	9.006492e-01	3.648185e+00	3.177148e+03	2.529136e-01	7.038920e-01	7.325758e+01	7.162529e+01
2.000000e+02	0.000000e+00	6.504955e-01	3.129796e-01	5.270704e-01	7.160667e-01	3.526316e-01	9.006492e-01	3.648185e+00	3.177148e+03	4.172736e-01	2.181714e-01	7.325758e+01	7.162529e+01
2.000000e+02	1.000000e+00	6.504955e-01	3.129796e-01	5.270704e-01	7.160667e-01	3.526316e-01	9.006492e-01	3.648185e+00	3.177148e+03	4.172736e-01	7.038920e-01	4.747195e+01	7.162529e+01
2.000000e+02	7.000000e+00	6.504955e-01	3.129796e-01	5.270704e-01	7.160667e-01	3.526316e-01	9.006492e-01	3.648185e+00	3.177148e+03	4.172736e-01	7.038920e-01	7.325758e+01	6.542762e+01
4.000000e+02	0.000000e+00	6.504955e-01	3.208006e-01	8.214487e-01	2.424546e-01	2.552877e-01	8.768461e-01	4.871315e+00	3.227659e+03	2.529136e-01	2.181714e-01	4.747195e+01	6.542762e+01
2.000000e+02	4.000000e+00	2.438166e-01	3.129796e-01	5.270704e-01	2.424546e-01	2.552877e-01	8.768461e-01	4.871315e+00	3.227659e+03	2.529136e-01	2.181714e-01	4.747195e+01	6.542762e+01
4.000000e+02	1.000000e+00	2.438166e-01	3.208006e-01	8.214487e-01	7.160667e-01	3.526316e-01	8.768461e-01	4.871315e+00	3.227659e+03	2.529136e-01	2.181714e-01	4.747195e+01	6.542762e+01
2.000000e+02	1.100000e+01	2.438166e-01	3.208006e-01	8.214487e-01	2.424546e-01	2.552877e-01	9.006492e-01	4.871315e+00	3.227659e+03	2.529136e-01	2.181714e-01	4.747195e+01	6.542762e+01
2.000000e+02	1.000000e+00	2.438166e-01	3.208006e-01	8.214487e-01	2.424546e-01	2.552877e-01	8.768461e-01	3.648185e+00	3.227659e+03	2.529136e-01	2.181714e-01	4.747195e+01	6.542762e+01
2.000000e+02	1.700000e+01	2.438166e-01	3.208006e-01	8.214487e-01	2.424546e-01	2.552877e-01	8.768461e-01	4.871315e+00	3.177148e+03	2.529136e-01	2.181714e-01	4.747195e+01	6.542762e+01
2.000000e+02	1.000000e+00	2.438166e-01	3.208006e-01	8.214487e-01	2.424546e-01	2.552877e-01	8.768461e-01	4.871315e+00	3.227659e+03	4.172736e-01	2.181714e-01	4.747195e+01	6.542762e+01
4.000000e+02	1.000000e+00	2.438166e-01	3.208006e-01	8.214487e-01	2.424546e-01	2.552877e-01	8.768461e-01	4.871315e+00	3.227659e+03	2.529136e-01	7.038920e-01	4.747195e+01	6.542762e+01
2.000000e+02	2.000000e+00	2.438166e-01	3.208006e-01	8.214487e-01	2.424546e-01	2.552877e-01	8.768461e-01	4.871315e+00	3.227659e+03	2.529136e-01	2.181714e-01	7.325758e+01	6.542762e+01
2.000000e+02	1.700000e+01	2.438166e-01	3.208006e-01	8.214487e-01	2.424546e-01	2.552877e-01	8.768461e-01	4.871315e+00	3.227659e+03	2.529136e-01	2.181714e-01	4.747195e+01	7.162529e+01
2.000000e+02	2.000000e+00	2.438166e-01	3.208006e-01	8.214487e-01	2.424546e-01	2.552877e-01	8.768461e-01	4.871315e+00	3.227659e+03	2.529136e-01	2.181714e-01	4.747195e+01	6.542762e+01
6.000000e+02	0.000000e+00	5.977714e-01	5.235054e-01	8.279003e-01	5.412707e-01	3.767186e-01	6.656160e-01	1.160486e+00	4.960534e+03	9.524348e-01	4.310826e-01	1.164334e+01	5.851752e+01
4.000000e+02	0.000000e+00	7.226569e-01	5.235054e-01	8.279003e-01	5.412707e-01	3.767186e-01	6.656160e-01	1.160486e+00	4.960534e+03	9.524348e-01	4.310826e-01	1.164334e+01	5.851752e+01
2.000000e+02	0.000000e+00	5.977714e-01	1.104834e-01	9.459207e-01	5.412707e-01	3.767186e-01	6.656160e-01	1.160486e+00	4.960534e+03	9.524348e-01	4.310826e-01	1.164334e+01	5.851752e+01
2.000000e+02	0.000000e+00	5.977714e-01	5.235054e-01	8.279003e-01	1.038927e-01	4.200853e-01	6.656160e-01	1.160486e+00	4.960534e+03	9.524348e-01	4.310826e-01	1.164334e+01	5.851752e+01
4.000000e+02	0.000000e+00	5.977714e-01	5.235054e-01	8.279003e-01	5.412707e-01	3.767186e-01	7.548849e-01	1.160486e+00	4.960534e+03	9.524348e-01	4.310826e-01	1.164334e+01	5.851752e+01
2.000000e+02	0.000000e+00	5.977714e-01	5.235054e-01	8.279003e-01	5.412707e-01	3.767186e-01	6.656160e-01	2.693511e+00	4.960534e+03	9.524348e-01	4.310826e-01	1.164334e+01	5.851752e+01
4.000000e+02	0.000000e+00	5.977714e-01	5.235054e-01	8.279003e-01	5.412707e-01	3.767186e-01	6.656160e-01	1.160486e+00	4.514855e+03	9.524348e-01	4.310826e-01	1.164334e+01	5.851752e+01
6.000000e+02	0.000000e+00	5.977714e-01	5.235054e-01	8.279003e-01	5.412707e-01	3.767186e-01	6.656160e-01	1.160486e+00	4.960534e+03	9.237458e-01	4.310826e-01	1.164334e+01	5.851752e+01
8.000000e+02	0.000000e+00	5.977714e-01	5.235054e-01	8.279003e-01	5.412707e-01	3.767186e-01	6.656160e-01	1.160486e+00	4.960534e+03	9.524348e-01	3.786917e-01	1.164334e+01	5.851752e+01
1.000000e+03	0.000000e+00	5.977714e-01	5.235054e-01	8.279003e-01	5.412707e-01	3.767186e-01	6.656160e-01	1.160486e+00	4.960534e+03	9.524348e-01	4.310826e-01	5.988898e+01	5.851752e+01
4.000000e+02	0.000000e+00	5.977714e-01	5.235054e-01	8.279003e-01	5.412707e-01	3.767186e-01	6.656160e-01	1.160486e+00	4.960534e+03	9.524348e-01	4.310826e-01	1.164334e+01	7.173212e+01
2.000000e+02	1.000000e+00	5.977714e-01	1.104834e-01	9.459207e-01	1.038927e-01	4.200853e-01	7.548849e-01	2.693511e+00	4.514855e+03	9.237458e-01	3.786917e-01	5.988898e+01	7.173212e+01
2.000000e+02	0.000000e+00	7.226569e-01	5.235054e-01	8.279003e-01	1.038927e-01	4.200853e-01	7.548849e-01	2.693511e+00	4.514855e+03	9.237458e-01	3.786917e-01	5.988898e+01	7.173212e+01
2.000000e+02	0.000000e+00	7.226569e-01	1.104834e-01	9.459207e-01	5.412707e-01	3.767186e-01	7.548849e-01	2.693511e+00	4.514855e+03	9.237458e-01	3.786917e-01	5.988898e+01	7.173212e+01
2.000000e+02	0.000000e+00	7.226569e-01	1.104834e-01	9.459207e-01	1.038927e-01	4.200853e-01	6.656160e-01	2.693511e+00	4.514855e+03	9.237458e-01	3.786917e-01	5.988898e+01	7.173212e+01
2.000000e+02	0.000000e+00	7.226569e-01	1.104834e-01	9.459207e-01	1.038927e-01	4.200853e-01	7.548849e-01	1.160486e+00	4.514855e+03	9.237458e-01	3.786917e-01	5.988898e+01	7.173212e+01
