growth_rate	epi_size	cell_definitions/cell_definition/phenotype/secretion/substrate/secretion_rate_epi_inter___div_inhib	microenvironment_setup/variable/physical_parameter_set/diffusion_coefficient___div_inhib	microenvironment_setup/variable/physical_parameter_set/decay_rate___div_inhib	cell_definitions/cell_definition/phenotype/death/model/death_rate_epi_inter___	[_'_c_e_l_l___r_u_l_e_'_,_ _'_1_'_,_ _'_5_'_]	[_'_c_e_l_l___r_u_l_e_'_,_ _'_2_'_,_ _'_5_'_]
1.006805e-01	1.684545e+02	9.958451e+02	5.145397e+02	4.302993e+01	1.269349e-04	3.040734e+00	7.673099e-01
6.205602e-03	1.638253e+02	2.415210e+02	1.476287e+03	9.801991e+01	4.209567e-04	1.517552e+00	3.932962e-01
6.205602e-03	1.638253e+02	2.755548e+02	1.476287e+03	9.801991e+01	4.209567e-04	1.517552e+00	3.932962e-01
6.205602e-03	1.638253e+02	2.415210e+02	8.628535e+02	9.801991e+01	4.209567e-04	1.517552e+00	3.932962e-01
6.205602e-03	1.638253e+02	2.415210e+02	1.476287e+03	6.188945e+00	4.209567e-04	1.517552e+00	3.932962e-01
9.134859e-03	1.639688e+02	2.415210e+02	1.476287e+03	9.801991e+01	4.754871e-04	1.517552e+00	3.932962e-01
6.205602e-03	1.638253e+02	2.415210e+02	1.476287e+03	9.801991e+01	4.209567e-04	2.248698e+00	3.932962e-01
6.205602e-03	1.638253e+02	2.415210e+02	1.476287e+03	9.801991e+01	4.209567e-04	1.517552e+00	1.911470e+00
9.134859e-03	1.639688e+02	2.415210e+02	8.628535e+02	6.188945e+00	4.754871e-04	2.248698e+00	1.911470e+00
9.134859e-03	1.639688e+02	2.755548e+02	1.476287e+03	6.188945e+00	4.754871e-04	2.248698e+00	1.911470e+00
9.134859e-03	1.639688e+02	2.755548e+02	8.628535e+02	9.801991e+01	4.754871e-04	2.248698e+00	1.911470e+00
6.205602e-03	1.638253e+02	2.755548e+02	8.628535e+02	6.188945e+00	4.209567e-04	2.248698e+00	1.911470e+00
9.134859e-03	1.639688e+02	2.755548e+02	8.628535e+02	6.188945e+00	4.754871e-04	1.517552e+00	1.911470e+00
9.134859e-03	1.639688e+02	2.755548e+02	8.628535e+02	6.188945e+00	4.754871e-04	2.248698e+00	3.932962e-01
9.134859e-03	1.639688e+02	2.755548e+02	8.628535e+02	6.188945e+00	4.754871e-04	2.248698e+00	1.911470e+00
9.134859e-03	1.639688e+02	6.460126e+02	6.891324e+02	4.517891e+01	6.447524e-04	3.144801e+00	2.453530e+00
9.134859e-03	1.639688e+02	7.339424e+02	6.891324e+02	4.517891e+01	6.447524e-04	3.144801e+00	2.453530e+00
9.134859e-03	1.639688e+02	6.460126e+02	1.119706e+03	4.517891e+01	6.447524e-04	3.144801e+00	2.453530e+00
9.134859e-03	1.639688e+02	6.460126e+02	6.891324e+02	6.069322e+01	6.447524e-04	3.144801e+00	2.453530e+00
9.134859e-03	1.639688e+02	6.460126e+02	6.891324e+02	4.517891e+01	7.858440e-04	3.144801e+00	2.453530e+00
9.134859e-03	1.639688e+02	6.460126e+02	6.891324e+02	4.517891e+01	6.447524e-04	3.263115e-01	2.453530e+00
9.134859e-03	1.639688e+02	6.460126e+02	6.891324e+02	4.517891e+01	6.447524e-04	3.144801e+00	2.520384e+00
9.134859e-03	1.639688e+02	6.460126e+02	1.119706e+03	6.069322e+01	7.858440e-04	3.263115e-01	2.520384e+00
9.134859e-03	1.639688e+02	7.339424e+02	6.891324e+02	6.069322e+01	7.858440e-04	3.263115e-01	2.520384e+00
9.134859e-03	1.639688e+02	7.339424e+02	1.119706e+03	4.517891e+01	7.858440e-04	3.263115e-01	2.520384e+00
9.134859e-03	1.639688e+02	7.339424e+02	1.119706e+03	6.069322e+01	6.447524e-04	3.263115e-01	2.520384e+00
9.134859e-03	1.639688e+02	7.339424e+02	1.119706e+03	6.069322e+01	7.858440e-04	3.144801e+00	2.520384e+00
9.134859e-03	1.639688e+02	7.339424e+02	1.119706e+03	6.069322e+01	7.858440e-04	3.263115e-01	2.453530e+00
9.134859e-03	1.639688e+02	7.339424e+02	1.119706e+03	6.069322e+01	7.858440e-04	3.263115e-01	2.520384e+00
9.134859e-03	1.639688e+02	5.818722e+02	1.343164e+03	2.502098e+01	5.585919e-04	3.685416e+00	3.078842e+00
9.134859e-03	1.639688e+02	4.575438e+02	1.343164e+03	2.502098e+01	5.585919e-04	3.685416e+00	3.078842e+00
9.134859e-03	1.639688e+02	5.818722e+02	9.914970e+02	2.502098e+01	5.585919e-04	3.685416e+00	3.078842e+00
9.134859e-03	1.639688e+02	5.818722e+02	1.343164e+03	2.174109e+01	5.585919e-04	3.685416e+00	3.078842e+00
1.006805e-01	1.684545e+02	5.818722e+02	1.343164e+03	2.502098e+01	1.159457e-04	3.685416e+00	3.078842e+00
