growth_rate	epi_size	cell_definitions/cell_definition/phenotype/secretion/substrate/secretion_rate_epi_inter___div_inhib	microenvironment_setup/variable/physical_parameter_set/diffusion_coefficient___div_inhib	microenvironment_setup/variable/physical_parameter_set/decay_rate___div_inhib
9.651078e-01	2.633882e+02	5.492246e+02	7.128024e+02	3.934562e-01
9.651078e-01	2.633882e+02	5.492246e+02	7.128024e+02	4.880659e-01
9.651078e-01	2.633882e+02	7.020672e+02	7.821752e+02	1.541951e-01
9.651078e-01	2.633882e+02	2.946782e+02	7.821752e+02	1.541951e-01
9.651078e-01	2.633882e+02	7.020672e+02	1.011174e+03	1.541951e-01
9.651078e-01	2.633882e+02	7.020672e+02	7.821752e+02	1.434161e-01
9.651078e-01	2.633882e+02	7.020672e+02	1.011174e+03	1.434161e-01
9.651078e-01	2.633882e+02	2.946782e+02	7.821752e+02	1.434161e-01
9.651078e-01	2.633882e+02	2.946782e+02	1.011174e+03	1.541951e-01
9.651078e-01	2.633882e+02	2.946782e+02	1.011174e+03	1.434161e-01
9.651078e-01	2.633882e+02	5.839344e+02	1.201697e+03	2.687862e-01
9.651078e-01	2.633882e+02	4.104043e+02	1.201697e+03	2.687862e-01
9.651078e-01	2.633882e+02	5.839344e+02	1.171258e+03	2.687862e-01
9.651078e-01	2.633882e+02	5.839344e+02	1.201697e+03	1.770311e-01
9.651078e-01	2.633882e+02	5.839344e+02	1.171258e+03	1.770311e-01
9.651078e-01	2.633882e+02	4.104043e+02	1.201697e+03	1.770311e-01
9.651078e-01	2.633882e+02	4.104043e+02	1.171258e+03	2.687862e-01
1.327006e+00	2.992167e+02	4.104043e+02	1.171258e+03	1.770311e-01
9.651078e-01	2.633882e+02	2.156711e+02	9.942083e+02	2.826004e-01
1.045629e+00	2.716338e+02	6.871456e+02	9.942083e+02	2.826004e-01
9.651078e-01	2.633882e+02	2.156711e+02	6.228324e+02	2.826004e-01
9.651078e-01	2.633882e+02	2.156711e+02	9.942083e+02	2.826182e-01
9.651078e-01	2.633882e+02	2.156711e+02	6.228324e+02	2.826182e-01
9.651078e-01	2.633882e+02	6.871456e+02	9.942083e+02	2.826182e-01
9.651078e-01	2.633882e+02	6.871456e+02	6.228324e+02	2.826004e-01
9.651078e-01	2.633882e+02	6.871456e+02	6.228324e+02	2.826182e-01
9.651078e-01	2.633882e+02	4.548378e+02	1.383353e+03	8.290205e-02
9.651078e-01	2.633882e+02	2.440717e+02	1.383353e+03	8.290205e-02
9.651078e-01	2.633882e+02	4.548378e+02	8.563967e+02	8.290205e-02
9.651078e-01	2.633882e+02	4.548378e+02	1.383353e+03	4.224200e-01
9.651078e-01	2.633882e+02	4.548378e+02	8.563967e+02	4.224200e-01
9.651078e-01	2.633882e+02	2.440717e+02	1.383353e+03	4.224200e-01
9.651078e-01	2.633882e+02	2.440717e+02	8.563967e+02	8.290205e-02
9.651078e-01	2.633882e+02	2.440717e+02	8.563967e+02	4.224200e-01
9.651078e-01	2.633882e+02	8.368305e+02	6.836769e+02	4.623330e-01
9.651078e-01	2.633882e+02	9.744565e+02	6.836769e+02	4.623330e-01
9.651078e-01	2.633882e+02	8.368305e+02	1.435954e+03	4.623330e-01
9.651078e-01	2.633882e+02	8.368305e+02	6.836769e+02	1.058986e-01
9.651078e-01	2.633882e+02	8.368305e+02	1.435954e+03	1.058986e-01
9.651078e-01	2.633882e+02	9.744565e+02	6.836769e+02	1.058986e-01
9.651078e-01	2.633882e+02	9.744565e+02	1.435954e+03	4.623330e-01
9.651078e-01	2.633882e+02	9.744565e+02	1.435954e+03	1.058986e-01
9.651078e-01	2.633882e+02	8.245641e+02	1.232126e+03	3.259321e-01
9.651078e-01	2.633882e+02	5.815908e+02	1.232126e+03	3.259321e-01
9.651078e-01	2.633882e+02	8.245641e+02	5.512064e+02	3.259321e-01
9.651078e-01	2.633882e+02	8.245641e+02	1.232126e+03	1.391583e-01
9.651078e-01	2.633882e+02	8.245641e+02	5.512064e+02	1.391583e-01
9.651078e-01	2.633882e+02	5.815908e+02	1.232126e+03	1.391583e-01
9.651078e-01	2.633882e+02	5.815908e+02	5.512064e+02	3.259321e-01
9.651078e-01	2.633882e+02	5.815908e+02	5.512064e+02	1.391583e-01
9.651078e-01	2.633882e+02	4.435608e+02	9.620780e+02	2.272947e-01
1.045629e+00	2.716338e+02	3.287071e+02	9.620780e+02	2.272947e-01
9.651078e-01	2.633882e+02	4.435608e+02	1.225552e+03	2.272947e-01
9.651078e-01	2.633882e+02	4.435608e+02	9.620780e+02	4.976507e-01
9.651078e-01	2.633882e+02	4.435608e+02	1.225552e+03	4.976507e-01
9.651078e-01	2.633882e+02	3.287071e+02	9.620780e+02	4.976507e-01
9.651078e-01	2.633882e+02	3.287071e+02	1.225552e+03	2.272947e-01
9.651078e-01	2.633882e+02	3.287071e+02	1.225552e+03	4.976507e-01
9.651078e-01	2.633882e+02	1.966972e+02	1.417688e+03	4.757836e-01
9.651078e-01	2.633882e+02	7.596363e+02	1.417688e+03	4.757836e-01
9.651078e-01	2.633882e+02	1.966972e+02	1.491951e+03	4.757836e-01
9.651078e-01	2.633882e+02	1.966972e+02	1.417688e+03	3.472984e-01
9.651078e-01	2.633882e+02	1.966972e+02	1.491951e+03	3.472984e-01
9.651078e-01	2.633882e+02	7.596363e+02	1.417688e+03	3.472984e-01
9.651078e-01	2.633882e+02	7.596363e+02	1.491951e+03	4.757836e-01
9.651078e-01	2.633882e+02	7.596363e+02	1.491951e+03	3.472984e-01
9.651078e-01	2.633882e+02	5.639988e+02	6.554526e+02	6.777606e-02
9.410898e-01	2.610105e+02	2.189001e+01	6.554526e+02	6.777606e-02
9.651078e-01	2.633882e+02	5.639988e+02	7.864820e+02	6.777606e-02
9.651078e-01	2.633882e+02	5.639988e+02	6.554526e+02	2.278718e-01
9.651078e-01	2.633882e+02	5.639988e+02	7.864820e+02	2.278718e-01
9.410898e-01	2.610105e+02	2.189001e+01	6.554526e+02	2.278718e-01
9.410898e-01	2.610105e+02	2.189001e+01	7.864820e+02	6.777606e-02
9.410898e-01	2.610105e+02	2.189001e+01	7.864820e+02	2.278718e-01
9.651078e-01	2.633882e+02	7.132377e+02	1.360679e+03	1.856631e-01
9.651078e-01	2.633882e+02	1.529817e+02	1.360679e+03	1.856631e-01
9.651078e-01	2.633882e+02	7.132377e+02	8.764212e+02	1.856631e-01
9.651078e-01	2.633882e+02	7.132377e+02	1.360679e+03	9.274364e-02
9.651078e-01	2.633882e+02	7.132377e+02	8.764212e+02	9.274364e-02
9.651078e-01	2.633882e+02	1.529817e+02	1.360679e+03	9.274364e-02
9.651078e-01	2.633882e+02	1.529817e+02	8.764212e+02	1.856631e-01
9.651078e-01	2.633882e+02	1.529817e+02	8.764212e+02	9.274364e-02
9.651078e-01	2.633882e+02	8.246539e+01	5.681675e+02	3.682238e-01
9.651078e-01	2.633882e+02	8.821917e+02	5.681675e+02	3.682238e-01
9.651078e-01	2.633882e+02	8.246539e+01	1.331959e+03	3.682238e-01
9.651078e-01	2.633882e+02	8.246539e+01	5.681675e+02	4.231076e-01
9.651078e-01	2.633882e+02	8.246539e+01	1.331959e+03	4.231076e-01
9.651078e-01	2.633882e+02	8.821917e+02	5.681675e+02	4.231076e-01
9.651078e-01	2.633882e+02	8.821917e+02	1.331959e+03	3.682238e-01
1.045629e+00	2.716338e+02	8.821917e+02	1.331959e+03	4.231076e-01
9.923054e-01	2.660808e+02	3.431714e+02	1.054023e+03	1.131570e-01
9.651078e-01	2.633882e+02	4.393170e+02	1.054023e+03	1.131570e-01
9.651078e-01	2.633882e+02	3.431714e+02	1.065284e+03	1.131570e-01
9.651078e-01	2.633882e+02	3.431714e+02	1.054023e+03	2.816559e-01
9.651078e-01	2.633882e+02	3.431714e+02	1.065284e+03	2.816559e-01
9.651078e-01	2.633882e+02	4.393170e+02	1.054023e+03	2.816559e-01
9.651078e-01	2.633882e+02	4.393170e+02	1.065284e+03	1.131570e-01
9.651078e-01	2.633882e+02	4.393170e+02	1.065284e+03	2.816559e-01
9.651078e-01	2.633882e+02	9.602039e+02	7.536993e+02	4.363345e-01
1.298167e+00	2.965842e+02	7.168347e+02	7.536993e+02	4.363345e-01
9.651078e-01	2.633882e+02	9.602039e+02	6.408707e+02	4.363345e-01
9.651078e-01	2.633882e+02	9.602039e+02	7.536993e+02	1.903509e-01
1.045629e+00	2.716338e+02	9.602039e+02	6.408707e+02	1.903509e-01
9.651078e-01	2.633882e+02	7.168347e+02	7.536993e+02	1.903509e-01
9.651078e-01	2.633882e+02	7.168347e+02	6.408707e+02	4.363345e-01
9.651078e-01	2.633882e+02	7.168347e+02	6.408707e+02	1.903509e-01
9.651078e-01	2.633882e+02	8.983938e+02	1.459773e+03	1.477914e-01
9.651078e-01	2.633882e+02	9.862957e+02	1.459773e+03	1.477914e-01
9.651078e-01	2.633882e+02	8.983938e+02	1.136676e+03	1.477914e-01
9.651078e-01	2.633882e+02	8.983938e+02	1.459773e+03	2.600397e-01
9.651078e-01	2.633882e+02	8.983938e+02	1.136676e+03	2.600397e-01
1.206453e+00	2.872820e+02	9.862957e+02	1.459773e+03	2.600397e-01
9.651078e-01	2.633882e+02	9.862957e+02	1.136676e+03	1.477914e-01
9.651078e-01	2.633882e+02	9.862957e+02	1.136676e+03	2.600397e-01
9.651078e-01	2.633882e+02	2.803504e+02	7.210342e+02	4.147738e-01
9.651078e-01	2.633882e+02	2.322339e+02	7.210342e+02	4.147738e-01
9.651078e-01	2.633882e+02	2.803504e+02	5.873304e+02	4.147738e-01
9.651078e-01	2.633882e+02	2.803504e+02	7.210342e+02	3.794526e-01
9.651078e-01	2.633882e+02	2.803504e+02	5.873304e+02	3.794526e-01
9.651078e-01	2.633882e+02	2.322339e+02	7.210342e+02	3.794526e-01
9.651078e-01	2.633882e+02	2.322339e+02	5.873304e+02	4.147738e-01
1.209646e+00	2.878981e+02	2.322339e+02	5.873304e+02	3.794526e-01
9.410898e-01	2.610105e+02	1.995403e+01	1.141398e+03	2.071139e-01
