growth_rate	epi_size	cell_definitions/cell_definition/phenotype/secretion/substrate/secretion_rate_epi_inter___div_inhib	microenvironment_setup/variable/physical_parameter_set/diffusion_coefficient___div_inhib	microenvironment_setup/variable/physical_parameter_set/decay_rate___div_inhib	[_'_c_e_l_l___r_u_l_e_'_,_ _1_,_ _5_]
1.314716e+00	2.982500e+02	1.588640e+02	5.084124e+02	8.154934e-02	2.828554e+00
7.208141e-02	1.751271e+02	6.924503e+02	1.477104e+03	4.350334e-01	1.554447e-01
7.208141e-02	1.751271e+02	4.921862e+01	1.477104e+03	4.350334e-01	1.554447e-01
7.208141e-02	1.751271e+02	6.924503e+02	9.673688e+02	4.350334e-01	1.554447e-01
7.208141e-02	1.751271e+02	6.924503e+02	1.477104e+03	3.470735e-01	1.554447e-01
1.176741e+00	2.845905e+02	6.924503e+02	1.477104e+03	4.350334e-01	1.426467e+00
1.176741e+00	2.845905e+02	6.924503e+02	9.673688e+02	3.470735e-01	1.426467e+00
1.176741e+00	2.845905e+02	4.921862e+01	1.477104e+03	3.470735e-01	1.426467e+00
1.176741e+00	2.845905e+02	4.921862e+01	9.673688e+02	4.350334e-01	1.426467e+00
7.208141e-02	1.751271e+02	4.921862e+01	9.673688e+02	3.470735e-01	1.554447e-01
1.176741e+00	2.845905e+02	4.921862e+01	9.673688e+02	3.470735e-01	1.426467e+00
1.314716e+00	2.982500e+02	2.224358e+02	8.075554e+02	1.547903e-01	2.342190e+00
1.314716e+00	2.982500e+02	8.702884e+02	8.075554e+02	1.547903e-01	2.342190e+00
1.314716e+00	2.982500e+02	2.224358e+02	1.280769e+03	1.547903e-01	2.342190e+00
1.314716e+00	2.982500e+02	2.224358e+02	8.075554e+02	1.323487e-01	2.342190e+00
1.314716e+00	2.982500e+02	2.224358e+02	8.075554e+02	1.547903e-01	2.484633e+00
1.314716e+00	2.982500e+02	2.224358e+02	1.280769e+03	1.323487e-01	2.484633e+00
1.314716e+00	2.982500e+02	8.702884e+02	8.075554e+02	1.323487e-01	2.484633e+00
1.314716e+00	2.982500e+02	8.702884e+02	1.280769e+03	1.547903e-01	2.484633e+00
1.314716e+00	2.982500e+02	8.702884e+02	1.280769e+03	1.323487e-01	2.342190e+00
1.314716e+00	2.982500e+02	8.702884e+02	1.280769e+03	1.323487e-01	2.484633e+00
1.225438e+00	2.894115e+02	4.595933e+02	1.234979e+03	3.313078e-01	1.316613e+00
1.225438e+00	2.894115e+02	5.627898e+02	1.234979e+03	3.313078e-01	1.316613e+00
1.225438e+00	2.894115e+02	4.595933e+02	1.100645e+03	3.313078e-01	1.316613e+00
1.225438e+00	2.894115e+02	4.595933e+02	1.234979e+03	4.320196e-01	1.316613e+00
1.314716e+00	2.982500e+02	4.595933e+02	1.234979e+03	3.313078e-01	3.550949e+00
1.314716e+00	2.982500e+02	4.595933e+02	1.100645e+03	4.320196e-01	3.550949e+00
1.314716e+00	2.982500e+02	5.627898e+02	1.234979e+03	4.320196e-01	3.550949e+00
1.314716e+00	2.982500e+02	5.627898e+02	1.100645e+03	3.313078e-01	3.550949e+00
1.225438e+00	2.894115e+02	5.627898e+02	1.100645e+03	4.320196e-01	1.316613e+00
1.314716e+00	2.982500e+02	5.627898e+02	1.100645e+03	4.320196e-01	3.550949e+00
1.314716e+00	2.982500e+02	9.845546e+02	5.341795e+02	1.635975e-01	3.238457e+00
1.314716e+00	2.982500e+02	3.656215e+02	5.341795e+02	1.635975e-01	3.238457e+00
1.314716e+00	2.982500e+02	9.845546e+02	6.622136e+02	1.635975e-01	3.238457e+00
1.314716e+00	2.982500e+02	9.845546e+02	5.341795e+02	2.161902e-01	3.238457e+00
8.486933e-01	2.521138e+02	9.845546e+02	5.341795e+02	1.635975e-01	6.190770e-01
8.486933e-01	2.521138e+02	9.845546e+02	6.622136e+02	2.161902e-01	6.190770e-01
8.486933e-01	2.521138e+02	3.656215e+02	5.341795e+02	2.161902e-01	6.190770e-01
8.486933e-01	2.521138e+02	3.656215e+02	6.622136e+02	1.635975e-01	6.190770e-01
1.314716e+00	2.982500e+02	3.656215e+02	6.622136e+02	2.161902e-01	3.238457e+00
8.486933e-01	2.521138e+02	3.656215e+02	6.622136e+02	2.161902e-01	6.190770e-01
1.314716e+00	2.982500e+02	9.254651e+02	1.366104e+03	3.615203e-01	2.058572e+00
1.314716e+00	2.982500e+02	7.145650e+02	1.366104e+03	3.615203e-01	2.058572e+00
1.314716e+00	2.982500e+02	9.254651e+02	6.057664e+02	3.615203e-01	2.058572e+00
1.314716e+00	2.982500e+02	9.254651e+02	1.366104e+03	3.849535e-01	2.058572e+00
1.136549e+00	2.806115e+02	9.254651e+02	1.366104e+03	3.615203e-01	1.054656e+00
1.136549e+00	2.806115e+02	9.254651e+02	6.057664e+02	3.849535e-01	1.054656e+00
1.136549e+00	2.806115e+02	7.145650e+02	1.366104e+03	3.849535e-01	1.054656e+00
1.136549e+00	2.806115e+02	7.145650e+02	6.057664e+02	3.615203e-01	1.054656e+00
1.314716e+00	2.982500e+02	7.145650e+02	6.057664e+02	3.849535e-01	2.058572e+00
1.136549e+00	2.806115e+02	7.145650e+02	6.057664e+02	3.849535e-01	1.054656e+00
5.109698e-01	2.186792e+02	3.967349e+02	9.106528e+02	1.935901e-01	5.024948e-01
5.109698e-01	2.186792e+02	3.922490e+02	9.106528e+02	1.935901e-01	5.024948e-01
5.109698e-01	2.186792e+02	3.967349e+02	1.169289e+03	1.935901e-01	5.024948e-01
5.109698e-01	2.186792e+02	3.967349e+02	9.106528e+02	1.507838e-01	5.024948e-01
1.314716e+00	2.982500e+02	3.967349e+02	9.106528e+02	1.935901e-01	2.116225e+00
1.314716e+00	2.982500e+02	3.967349e+02	1.169289e+03	1.507838e-01	2.116225e+00
1.314716e+00	2.982500e+02	3.922490e+02	9.106528e+02	1.507838e-01	2.116225e+00
1.314716e+00	2.982500e+02	3.922490e+02	1.169289e+03	1.935901e-01	2.116225e+00
5.109698e-01	2.186792e+02	3.922490e+02	1.169289e+03	1.507838e-01	5.024948e-01
1.314716e+00	2.982500e+02	3.922490e+02	1.169289e+03	1.507838e-01	2.116225e+00
1.314716e+00	2.982500e+02	1.583461e+02	1.108352e+03	4.054800e-01	3.406648e+00
1.314716e+00	2.982500e+02	2.096300e+02	1.108352e+03	4.054800e-01	3.406648e+00
1.314716e+00	2.982500e+02	1.583461e+02	1.458818e+03	4.054800e-01	3.406648e+00
1.314716e+00	2.982500e+02	1.583461e+02	1.108352e+03	4.136402e-01	3.406648e+00
1.314716e+00	2.982500e+02	1.583461e+02	1.108352e+03	4.054800e-01	3.919594e+00
1.314716e+00	2.982500e+02	1.583461e+02	1.458818e+03	4.136402e-01	3.919594e+00
1.314716e+00	2.982500e+02	2.096300e+02	1.108352e+03	4.136402e-01	3.919594e+00
1.314716e+00	2.982500e+02	2.096300e+02	1.458818e+03	4.054800e-01	3.919594e+00
1.314716e+00	2.982500e+02	2.096300e+02	1.458818e+03	4.136402e-01	3.406648e+00
1.314716e+00	2.982500e+02	2.096300e+02	1.458818e+03	4.136402e-01	3.919594e+00
1.106278e+00	2.776147e+02	6.326402e+02	6.841510e+02	1.250175e-01	1.086923e+00
1.106278e+00	2.776147e+02	9.060994e+02	6.841510e+02	1.250175e-01	1.086923e+00
1.106278e+00	2.776147e+02	6.326402e+02	7.702661e+02	1.250175e-01	1.086923e+00
1.106278e+00	2.776147e+02	6.326402e+02	6.841510e+02	1.783641e-01	1.086923e+00
