nbr_apop	apop_pos	epi_size	cell_definitions/cell_definition/phenotype/mechanics/cell_adhesion_affinities/cell_adhesion_affinity_epi_inter_epi_inter__	[_'_c_e_l_l___r_u_l_e_'_,_ _'_2_'_,_ _'_5_'_]
1.500000e+01	-5.635353e+01	1.569001e+02	2.564484e-01	1.928564e-01
8.000000e+00	-8.471960e+01	1.558794e+02	2.222914e-01	1.485389e+00
1.400000e+01	-3.937881e+01	1.545880e+02	7.487774e-01	1.485389e+00
8.000000e+00	-8.471960e+01	1.558794e+02	2.222914e-01	2.916049e+00
8.000000e+00	-8.471960e+01	1.558794e+02	2.222914e-01	2.916049e+00
1.400000e+01	-3.937881e+01	1.545880e+02	7.487774e-01	1.485389e+00
1.400000e+01	-3.937881e+01	1.545880e+02	7.487774e-01	2.916049e+00
1.200000e+01	-1.731338e+01	1.601428e+02	2.821613e-01	2.651854e+00
1.200000e+01	-6.155285e+01	1.576687e+02	2.269090e-01	2.651854e+00
1.200000e+01	-1.731338e+01	1.601428e+02	2.821613e-01	1.725637e+00
1.200000e+01	-1.731338e+01	1.601428e+02	2.821613e-01	1.725637e+00
1.200000e+01	-6.155285e+01	1.576687e+02	2.269090e-01	2.651854e+00
1.200000e+01	-6.155285e+01	1.576687e+02	2.269090e-01	1.725637e+00
1.300000e+01	-9.701492e-01	1.549695e+02	8.774921e-01	9.262283e-01
1.200000e+01	-2.627397e+01	1.549848e+02	7.661103e-01	9.262283e-01
1.300000e+01	-9.701492e-01	1.549695e+02	8.774921e-01	3.499065e+00
1.300000e+01	-9.701492e-01	1.549695e+02	8.774921e-01	3.499065e+00
1.200000e+01	-2.627397e+01	1.549848e+02	7.661103e-01	9.262283e-01
1.200000e+01	-2.627397e+01	1.549848e+02	7.661103e-01	3.499065e+00
1.300000e+01	-6.428709e+01	1.542806e+02	9.557738e-01	3.993755e+00
1.500000e+01	-7.055999e+01	1.560621e+02	1.368058e-01	3.993755e+00
1.300000e+01	-6.428709e+01	1.542806e+02	9.557738e-01	2.583193e+00
1.300000e+01	-6.428709e+01	1.542806e+02	9.557738e-01	2.583193e+00
1.500000e+01	-7.055999e+01	1.560621e+02	1.368058e-01	3.993755e+00
1.500000e+01	-7.055999e+01	1.560621e+02	1.368058e-01	2.583193e+00
1.400000e+01	-1.532562e+00	1.562439e+02	3.601906e-01	1.706001e+00
1.900000e+01	-1.699546e+01	1.547618e+02	8.634767e-01	1.706001e+00
1.400000e+01	-1.532562e+00	1.562439e+02	3.601906e-01	3.348520e-01
1.400000e+01	-1.532562e+00	1.562439e+02	3.601906e-01	3.348520e-01
1.900000e+01	-1.699546e+01	1.547618e+02	8.634767e-01	1.706001e+00
1.900000e+01	-1.699546e+01	1.547618e+02	8.634767e-01	3.348520e-01
1.100000e+01	-6.936143e+01	1.593640e+02	1.753977e-01	2.440990e+00
1.700000e+01	-1.768543e+01	1.557012e+02	3.465211e-01	2.440990e+00
1.100000e+01	-6.936143e+01	1.593640e+02	1.753977e-01	3.013261e+00
1.100000e+01	-6.936143e+01	1.593640e+02	1.753977e-01	3.013261e+00
1.700000e+01	-1.768543e+01	1.557012e+02	3.465211e-01	2.440990e+00
1.700000e+01	-1.768543e+01	1.557012e+02	3.465211e-01	3.013261e+00
9.000000e+00	-3.895949e+01	1.561924e+02	5.175509e-01	1.454439e-01
1.500000e+01	-8.095880e+00	1.569944e+02	6.513195e-01	1.454439e-01
9.000000e+00	-3.895949e+01	1.561924e+02	5.175509e-01	1.778984e+00
9.000000e+00	-3.895949e+01	1.561924e+02	5.175509e-01	1.778984e+00
1.500000e+01	-8.095880e+00	1.569944e+02	6.513195e-01	1.454439e-01
1.500000e+01	-8.095880e+00	1.569944e+02	6.513195e-01	1.778984e+00
1.400000e+01	-4.120660e+01	1.550362e+02	7.101996e-01	2.976632e+00
1.400000e+01	-6.664304e+01	1.521555e+02	9.353106e-01	2.976632e+00
1.400000e+01	-4.120660e+01	1.550362e+02	7.101996e-01	1.156890e+00
1.400000e+01	-4.120660e+01	1.550362e+02	7.101996e-01	1.156890e+00
1.400000e+01	-6.664304e+01	1.521555e+02	9.353106e-01	2.976632e+00
1.400000e+01	-6.664304e+01	1.521555e+02	9.353106e-01	1.156890e+00
1.200000e+01	-6.566323e+01	1.587466e+02	1.146135e-01	7.132300e-01
1.800000e+01	-2.761585e+01	1.557546e+02	6.826735e-02	7.132300e-01
1.200000e+01	-6.566323e+01	1.587466e+02	1.146135e-01	3.880843e+00
1.200000e+01	-6.566323e+01	1.587466e+02	1.146135e-01	3.880843e+00
1.800000e+01	-2.761585e+01	1.557546e+02	6.826735e-02	7.132300e-01
1.800000e+01	-2.761585e+01	1.557546e+02	6.826735e-02	3.880843e+00
7.000000e+00	-7.193032e+01	1.577814e+02	4.278088e-01	3.411106e+00
1.000000e+01	-4.252420e+01	1.536758e+02	5.810650e-01	3.411106e+00
