nbr_breaks	Group_epib1	Group_epib2	Group_epib2	Group_m2	Group_m2	Group_m1	Group_m3	Group_m3
0.000000e+00	2.638910e-01	6.501240e-02	8.424299e-01	4.289805e-01	5.135857e-01	6.231703e-01	8.141855e-01	1.957351e-01
1.000000e+00	2.638910e-01	6.501240e-02	8.424299e-01	4.289805e-01	5.135857e-01	6.231703e-01	8.522006e-01	5.530425e-01
0.000000e+00	3.285892e-02	9.621727e-01	9.987957e-01	3.817892e-01	2.714579e-01	3.684641e-01	3.561272e-01	2.799407e-01
0.000000e+00	9.880627e-02	9.621727e-01	9.987957e-01	3.817892e-01	2.714579e-01	3.684641e-01	3.561272e-01	2.799407e-01
1.000000e+00	3.285892e-02	3.029330e-01	5.419098e-01	3.817892e-01	2.714579e-01	3.684641e-01	3.561272e-01	2.799407e-01
1.000000e+00	3.285892e-02	9.621727e-01	9.987957e-01	2.314492e-01	2.165694e-02	3.684641e-01	3.561272e-01	2.799407e-01
5.000000e+00	3.285892e-02	9.621727e-01	9.987957e-01	3.817892e-01	2.714579e-01	1.935119e-01	3.561272e-01	2.799407e-01
0.000000e+00	3.285892e-02	9.621727e-01	9.987957e-01	3.817892e-01	2.714579e-01	3.684641e-01	5.790934e-01	1.453657e-01
1.000000e+00	3.285892e-02	3.029330e-01	5.419098e-01	2.314492e-01	2.165694e-02	1.935119e-01	5.790934e-01	1.453657e-01
1.000000e+00	9.880627e-02	9.621727e-01	9.987957e-01	2.314492e-01	2.165694e-02	1.935119e-01	5.790934e-01	1.453657e-01
3.000000e+00	9.880627e-02	3.029330e-01	5.419098e-01	3.817892e-01	2.714579e-01	1.935119e-01	5.790934e-01	1.453657e-01
1.000000e+00	9.880627e-02	3.029330e-01	5.419098e-01	2.314492e-01	2.165694e-02	3.684641e-01	5.790934e-01	1.453657e-01
1.000000e+00	9.880627e-02	3.029330e-01	5.419098e-01	2.314492e-01	2.165694e-02	1.935119e-01	3.561272e-01	2.799407e-01
1.000000e+00	9.880627e-02	3.029330e-01	5.419098e-01	2.314492e-01	2.165694e-02	1.935119e-01	5.790934e-01	1.453657e-01
5.000000e+00	5.268205e-01	4.302014e-01	4.064388e-01	5.901287e-01	8.630486e-01	6.068598e-01	5.145835e-01	8.897199e-01
6.000000e+00	8.433944e-01	4.302014e-01	4.064388e-01	5.901287e-01	8.630486e-01	6.068598e-01	5.145835e-01	8.897199e-01
3.000000e+00	5.268205e-01	7.697249e-01	2.036199e-01	5.901287e-01	8.630486e-01	6.068598e-01	5.145835e-01	8.897199e-01
7.000000e+00	5.268205e-01	4.302014e-01	4.064388e-01	7.097020e-01	9.537126e-01	6.068598e-01	5.145835e-01	8.897199e-01
1.000000e+00	5.268205e-01	4.302014e-01	4.064388e-01	5.901287e-01	8.630486e-01	9.959347e-01	5.145835e-01	8.897199e-01
0.000000e+00	5.268205e-01	4.302014e-01	4.064388e-01	5.901287e-01	8.630486e-01	6.068598e-01	2.424972e-02	9.767531e-01
0.000000e+00	5.268205e-01	7.697249e-01	2.036199e-01	7.097020e-01	9.537126e-01	9.959347e-01	2.424972e-02	9.767531e-01
0.000000e+00	8.433944e-01	4.302014e-01	4.064388e-01	7.097020e-01	9.537126e-01	9.959347e-01	2.424972e-02	9.767531e-01
0.000000e+00	8.433944e-01	7.697249e-01	2.036199e-01	5.901287e-01	8.630486e-01	9.959347e-01	2.424972e-02	9.767531e-01
2.000000e+00	8.433944e-01	7.697249e-01	2.036199e-01	7.097020e-01	9.537126e-01	6.068598e-01	2.424972e-02	9.767531e-01
0.000000e+00	8.433944e-01	7.697249e-01	2.036199e-01	7.097020e-01	9.537126e-01	9.959347e-01	5.145835e-01	8.897199e-01
