nbr_apoptosis	mean_pos_apop	epi_size	cell_definitions/cell_definition/phenotype/death/model/death_rate_epi_inter___	cell_rule_2_5	cell_rule_2_6
1.540000e+02	-2.249458e+01	6.410171e+01	4.589609e-04	5.198913e+00	4.982322e+00
1.660000e+02	-1.370094e+01	5.646799e+01	4.589609e-04	5.198913e+00	4.679246e+00
1.030000e+02	-1.145887e+01	1.435788e+02	1.540743e-04	4.775912e+00	2.628604e+00
1.770000e+02	-2.883505e+01	4.104392e+01	8.937699e-04	4.775912e+00	2.628604e+00
9.500000e+01	-2.297777e+01	1.590318e+02	1.540743e-04	3.600289e+00	2.628604e+00
9.800000e+01	-1.491723e+01	1.506002e+02	1.540743e-04	4.775912e+00	3.952158e+00
6.200000e+01	-1.611294e+01	1.736916e+02	1.540743e-04	3.600289e+00	3.952158e+00
1.550000e+02	-2.892862e+01	3.915712e+01	8.937699e-04	4.775912e+00	3.952158e+00
1.770000e+02	-2.757829e+01	4.434891e+01	8.937699e-04	3.600289e+00	2.628604e+00
1.960000e+02	-2.546861e+01	3.993846e+01	8.937699e-04	3.600289e+00	3.952158e+00
0.000000e+00		1.978016e+02	5.213878e-04	1.614696e-01	3.251885e+00
0.000000e+00		1.953393e+02	1.414011e-04	1.614696e-01	3.251885e+00
1.200000e+01	-6.734856e+01	1.857639e+02	5.213878e-04	1.060056e+00	3.251885e+00
0.000000e+00		1.952812e+02	5.213878e-04	1.614696e-01	2.763759e+00
1.600000e+01	5.710415e+00	1.882483e+02	5.213878e-04	1.060056e+00	2.763759e+00
0.000000e+00		1.978016e+02	1.414011e-04	1.614696e-01	2.763759e+00
4.000000e+00	-6.223399e+01	1.932794e+02	1.414011e-04	1.060056e+00	3.251885e+00
9.000000e+00	9.448284e+00	1.929035e+02	1.414011e-04	1.060056e+00	2.763759e+00
1.660000e+02	-2.176427e+01	6.018591e+01	6.394606e-04	5.941166e+00	4.362270e+00
4.000000e+00	-3.131975e+01	1.923237e+02	2.263246e-06	5.941166e+00	4.362270e+00
0.000000e+00		1.961345e+02	6.394606e-04	9.827203e-02	4.362270e+00
1.660000e+02	-2.922202e+01	6.920062e+01	6.394606e-04	5.941166e+00	1.211052e+00
1.100000e+01	-3.911343e+01	1.934110e+02	6.394606e-04	9.827203e-02	1.211052e+00
0.000000e+00		1.952703e+02	2.263246e-06	5.941166e+00	1.211052e+00
0.000000e+00		1.978016e+02	2.263246e-06	9.827203e-02	4.362270e+00
0.000000e+00		1.961222e+02	2.263246e-06	9.827203e-02	1.211052e+00
0.000000e+00		1.988134e+02	8.799240e-06	1.133376e+00	1.735016e+00
1.240000e+02	-1.854229e+01	1.448384e+02	7.792654e-04	1.133376e+00	1.735016e+00
7.000000e+00	2.663388e+01	1.952441e+02	8.799240e-06	4.138827e+00	1.735016e+00
0.000000e+00		1.952812e+02	8.799240e-06	1.133376e+00	4.024453e+00
7.000000e+00	-4.867111e+01	1.937039e+02	8.799240e-06	4.138827e+00	4.024453e+00
1.100000e+01	-7.048603e+01	1.820479e+02	7.792654e-04	1.133376e+00	4.024453e+00
1.880000e+02	-2.486332e+01	5.985413e+01	7.792654e-04	4.138827e+00	1.735016e+00
1.520000e+02	-1.732131e+01	3.828302e+01	7.792654e-04	4.138827e+00	4.024453e+00
1.300000e+02	-1.186830e+01	1.474782e+02	2.612544e-04	4.054357e+00	3.905263e+00
1.640000e+02	-1.538791e+01	1.215361e+02	3.403010e-04	4.054357e+00	3.905263e+00
1.370000e+02	-3.122163e+01	1.304152e+02	2.612544e-04	5.738729e+00	3.905263e+00
1.360000e+02	-1.588240e+01	1.284739e+02	2.612544e-04	4.054357e+00	3.345232e+00
1.640000e+02	-2.238886e+01	1.394168e+02	2.612544e-04	5.738729e+00	3.345232e+00
1.460000e+02	-5.221310e+00	1.201163e+02	3.403010e-04	4.054357e+00	3.345232e+00
1.710000e+02	-1.877572e+01	9.422199e+01	3.403010e-04	5.738729e+00	3.905263e+00
1.630000e+02	-1.823338e+01	8.585129e+01	3.403010e-04	5.738729e+00	3.345232e+00
1.650000e+02	-2.603078e+01	5.130394e+01	8.783370e-04	2.293442e+00	2.027968e+00
1.510000e+02	-2.175493e+01	1.218715e+02	5.699955e-04	2.293442e+00	2.027968e+00
1.480000e+02	-2.607004e+01	1.389962e+02	8.783370e-04	1.511385e+00	2.027968e+00
1.730000e+02	-2.436687e+01	6.530705e+01	8.783370e-04	2.293442e+00	2.406802e+00
1.220000e+02	-1.689151e+01	1.388006e+02	8.783370e-04	1.511385e+00	2.406802e+00
1.480000e+02	-1.952552e+01	1.296821e+02	5.699955e-04	2.293442e+00	2.406802e+00
9.500000e+01	-3.045552e+01	1.473148e+02	5.699955e-04	1.511385e+00	2.027968e+00
6.500000e+01	-1.747431e+01	1.648553e+02	5.699955e-04	1.511385e+00	2.406802e+00
1.710000e+02	-2.191605e+01	4.194876e+01	9.411237e-04	4.983009e+00	3.713125e+00
